key,usen,jpja,cnch
SteelKnife,Steel Dagger,はがねのナイフ,钢刀
SteelLance,Steel Lance,はがねの槍,钢枪
SteelLanceL,Steel Greatlance,はがねの大槍,钢大枪
SteelSword,Steel Sword,はがねの剣,钢剑
SteelSwordL,Steel Blade,はがねの大剣,钢大剑
Stiletto,Stiletto,スティレット,史提列特
StrTonic,Strength Tonic,力の薬,力量药
SunHat,Sun Visor,日よけ帽子,遮阳帽
Surge,Surge,サージ,浪涌
SuspiciousPaper,Spooky Scroll,怪しいお札,诡异符咒
Talisman,Talisman,魔よけ,避邪物
TeaLeaf,Tea Leaves,摘みたての茶葉,现摘茶叶
TecTonic,Dexterity Tonic,技の薬,技巧药
Thoron,Thoron,トロン,托隆
Thunder,Thunder,サンダー,雷电
ThunderSword,Levin Sword,いかづちの剣,雷之剑
TimeCrystal,Time Crystal,竜の時水晶,龙之时水晶
Tomahawk,Tomahawk,トマホーク,投斧
Tomato,Tomato,トマト,番茄
Torch,Torch,たいまつ,火把
TorchRod,Illume,トーチ,火炬
UmberBento,Amber's Meal,アンバー弁当,安巴便当
Unknown,???,？？？,？？？
UnknownArg,???,？？？,？？？
VandrBento,Vander's Meal,ヴァンドレ弁当,凡德雷便当
VeyreBento,Veyle's Meal,ヴェイル弁当,贝珥便当
Vulnerary,Vulnerary,傷薬,伤药
Warp,Warp,ワープ,传送
WeightStone,Training Weight,鍛錬用の重り石,锻炼用的重石
Wheat,Wheat Flour,小麦粉,小麦粉
WhiteClover,White Clover,シロツメクサ,白三叶草
WholeHeal,Fortify,リザーブ,全体圣疗
WilleGlanz,Wille Glanz,ヴィレグランツ,毕雷古兰兹
Wind,Wind,ウインド,烈风
WindAxeL,Hurricane Axe,風の大斧,风大斧
WoodCarvingBear,Bear Carving,木彫りのクマ,熊木雕
Wreath,Flower Wreath,手作りの花輪,手作花环
Yogurt,Yogurt,厳選ヨーグルト,严选酸奶
YunakaBento,Yunaka's Meal,ユナカ弁当,尤娜卡便当
ZelkovaBento,Zelkov's Meal,ゼルコバ弁当,杰尔科巴便当
